"Año","Semana","PrecioPollo","PrecioPrediccion","error_porcentual"
2018,49,37.7766666666667,37.9299237634661,0
2018,50,39.0854285714286,38.6715065435018,0.01
2018,51,39.7333333333333,40.058852034228,0.01
2018,52,40.9,40.8580484197975,0
2019,1,41.4291666666667,39.9673033430935,0.04
2019,2,39.5166666666667,38.7944886408808,0.02
2019,3,38.5366666666667,38.1931642172433,0.01
2019,4,37.7733333333333,38.5817085333654,0.02
2019,5,37.06,37.5101557615076,0.01
2019,6,37.3875,38.1934985689896,0.02
2019,7,38.4066666666667,38.500561713885,0
2019,8,38.3333333333333,38.4220159292879,0
2019,9,37.59,38.073011127873,0.01
2019,10,37.0293333333333,37.9462136277337,0.02
2019,11,38.4193333333333,38.9042731691554,0.01
2019,12,38.25,40.7941367113052,0.07
2019,13,38.25,41.1049207131245,0.07
2019,14,38.2166666666667,40.2806941539223,0.05
2019,15,38.9666666666667,40.3746763691843,0.04
2019,16,39.9333333333333,41.2591965775427,0.03
2019,17,44.1,42.4856983371261,0.04
2019,18,45.3166666666667,43.3915225648445,0.04
2019,19,46.65,43.2646584861494,0.07
2019,20,47.3166666666667,45.1754133650077,0.05
2019,21,46.5106666666667,46.4577197611962,0
2019,22,45.92,47.1672436329845,0.03
2019,23,45.7542857142857,46.403172934401,0.01
2019,24,46.146,47.6290671883558,0.03
2019,25,46.22,47.6626011120147,0.03
2019,26,46.54,47.2126084132265,0.01
2019,27,49.404,44.9279421657797,0.09
2019,28,49.26,44.4514247139745,0.1
2019,29,47.66,43.913582773285,0.08
2019,30,44.948,43.7330043454483,0.03
2019,31,43.5,42.7407785031227,0.02
2019,32,42.692,43.0252650463714,0.01
2019,33,42.22,40.9497561936073,0.03
2019,34,41.1,40.624373595109,0.01
2019,35,39.02,38.8838461142973,0
2019,36,39.02,39.9862688315026,0.02
2019,37,39.5166666666667,39.6253615647169,0
2019,38,40.1916666666667,41.4030545653829,0.03
2019,39,39.9833333333333,40.1944973266348,0.01
2019,40,39.7666666666667,39.2607156844123,0.01
2019,41,41.1,38.4708114923558,0.06
2019,42,41.1,37.636357057713,0.08
2019,43,41.6333333333333,38.595879030633,0.07
2019,44,42.5433333333333,39.6236928637313,0.07
2019,45,42.04,39.6928084106854,0.06
2019,46,41.7666666666667,39.2715905668134,0.06
2019,47,41.7833333333333,40.0608864026883,0.04
2019,48,41.7666666666667,38.6974962672466,0.07
2019,49,43.5166666666667,39.4404446867517,0.09
2019,50,44.85,39.7995440412627,0.11
2019,51,45.7833333333333,42.7246434400633,0.07
2019,52,44.6708333333333,41.8732573602374,0.06
2020,1,46.1166666666667,41.7067196382194,0.1
2020,2,44.1466666666667,40.191793185215,0.09
2020,3,43.7533333333333,39.9371402686247,0.09
2020,4,41.0933333333333,40.5805082974242,0.01
2020,5,39.3766666666667,39.1351397830163,0.01
2020,6,38.6166666666667,39.8278955133063,0.03
2020,7,40.9766666666667,40.1563189618094,0.02
2020,8,42.7,40.369432917061,0.05
2020,9,43.38,39.8940722661985,0.08
2020,10,43.7833333333333,40.7125077378764,0.07
2020,11,43.7833333333333,41.2135726644012,0.06
2020,12,43.7833333333333,40.0287887641964,0.09
2020,13,43.9946666666667,40.785375797004,0.07
2020,14,43.5146666666667,39.8531160429513,0.08
2020,15,43.5222222222222,39.6875682243031,0.09
2020,16,43.5166666666667,40.4034638178984,0.07
2020,17,42.5833333333333,41.7489208673319,0.02
2020,18,42.4733333333333,41.5145291845872,0.02
2020,19,39.295,41.8248722401262,0.06
2020,20,38.8666666666667,42.8076409275731,0.1
2020,21,38.4666666666667,42.4037837708764,0.1
2020,22,39.5333333333333,41.4960936413284,0.05
2020,23,37.0349330578738,44.3307849284603,0.2
2020,24,37.0349330578738,45.0111287129263,0.22
2020,25,37.0349330578738,44.5541827847644,0.2
2020,26,37.0349330578738,44.3592258146429,0.2
2020,27,37.0349330578738,42.827568130347,0.16
2020,28,37.0349330578738,41.1589925806364,0.11
2020,29,40,38.1288685124444,0.05
2020,30,40.675,38.0927530181994,0.06
2020,31,40.955,37.0101188799781,0.1
2020,32,40.965,36.8219815935035,0.1
2020,33,41.565,38.7562296545165,0.07
2020,34,42.92,39.3043785207815,0.08
2020,35,44.1,40.6211341601324,0.08
2020,36,42.3013333333333,42.8948650508192,0.01
2020,37,42.3666666666667,42.2914448632801,0
