"symbol","date","open","high","low","close","volume","adjusted"
"Wheat",2018-02-06,469,470.25,459.5,469,59356,469
"Wheat",2018-02-07,481,482.75,469.5,481,32424,481
"Wheat",2018-02-08,474.5,484.5,468.25,474.5,59149,474.5
"Wheat",2018-02-09,465.5,474.5,465,465.5,47835,465.5
"Wheat",2018-02-12,477.5,479.25,466.5,477.5,59036,477.5
"Wheat",2018-02-13,474.5,482.5,473.75,474.5,53229,474.5
"Wheat",2018-02-14,469.75,475.25,468,469.75,52987,469.75
"Wheat",2018-02-15,478,480,468.25,478,25408,478
"Wheat",2018-02-16,478.5,482.25,473,478.5,34995,478.5
"Wheat",2018-02-20,471.75,485.5,470.25,471.75,26639,471.75
"Wheat",2018-02-21,465.75,472.75,463,465.75,39211,465.75
"Wheat",2018-02-22,470.75,469.75,460,470.75,30639,470.75
"Wheat",2018-02-23,469,476.25,468.25,469,18241,469
"Wheat",2018-02-26,477.75,481.75,472.25,477.75,22843,477.75
"Wheat",2018-02-27,489,489.5,481,489,21919,489
"Wheat",2018-02-28,508.25,512.25,489,508.25,21069,508.25
"Wheat",2018-03-01,531,525,531,531,2455,531
"Wheat",2018-03-02,522,531,517.5,522,505,522
"Wheat",2018-03-05,533.5,527.5,523.75,533.5,70,533.5
"Wheat",2018-03-06,529.25,527.75,520,529.25,14,529.25
"Wheat",2018-03-07,521,527.25,524.25,521,58,521
"Wheat",2018-03-08,519.75,520,513.75,519.75,8,519.75
"Wheat",2018-03-09,508,508,508,508,82,508
"Wheat",2018-03-12,509,512.75,506,509,2,509
"Wheat",2018-03-13,507,519.75,506.75,507,5,507
"Wheat",2018-03-14,511.75,512.25,512,511.75,11,511.75
"Wheat",2018-03-15,513.5,531.25,513,513.5,23328,513.5
"Wheat",2018-03-16,499.5,515.5,499.25,499.5,23964,499.5
"Wheat",2018-03-19,470.25,495,469.75,470.25,35203,470.25
"Wheat",2018-03-20,470,479.25,467,470,65033,470
"Wheat",2018-03-21,465.5,470.25,458.25,465.5,35396,465.5
"Wheat",2018-03-22,471,475,463.25,471,33899,471
"Wheat",2018-03-23,479.25,481.25,464,479.25,30219,479.25
"Wheat",2018-03-26,468.25,485.5,467.25,468.25,28744,468.25
"Wheat",2018-03-27,464,473,464,464,27976,464
"Wheat",2018-03-28,461,467,457.75,461,23386,461
"Wheat",2018-03-29,467.25,471.5,456,467.25,19152,467.25
"Wheat",2018-04-02,467.5,476.25,467.25,467.5,27547,467.5
"Wheat",2018-04-03,484.75,492.5,471.5,484.75,24816,484.75
"Wheat",2018-04-04,486,494,473.5,486,38711,486
"Wheat",2018-04-05,498.5,499.25,487.5,498.5,33715,498.5
"Wheat",2018-04-06,506.75,506.75,491.25,506.75,28218,506.75
"Wheat",2018-04-09,522.75,528.75,511,522.75,38174,522.75
"Wheat",2018-04-10,521.75,525.25,513.75,521.75,34159,521.75
"Wheat",2018-04-11,516.75,522.75,509.25,516.75,39767,516.75
"Wheat",2018-04-12,507.5,514.25,501.25,507.5,34279,507.5
"Wheat",2018-04-13,495.75,507,490.75,495.75,30666,495.75
"Wheat",2018-04-16,478,490,477.75,478,29136,478
"Wheat",2018-04-17,480.5,486.25,476,480.5,27059,480.5
"Wheat",2018-04-18,488.75,491.25,479.25,488.75,14351,488.75
"Wheat",2018-04-19,495.25,496.75,489.5,495.25,19646,495.25
"Wheat",2018-04-20,482.75,495.5,483.75,482.75,14146,482.75
"Wheat",2018-04-23,483.25,489.75,480,483.25,14548,483.25
"Wheat",2018-04-24,492.5,492.5,477.25,492.5,16830,492.5
"Wheat",2018-04-25,507,509.25,493,507,17075,507
"Wheat",2018-04-26,501.75,511.5,493.5,501.75,18169,501.75
"Wheat",2018-04-27,512.25,511.25,500,512.25,13926,512.25
"Wheat",2018-04-30,518.5,523.5,512,518.5,11749,518.5
"Wheat",2018-05-01,532.25,529,513,532.25,2547,532.25
"Wheat",2018-05-02,535.75,540,531,535.75,982,535.75
"Wheat",2018-05-03,547.5,540.75,534.75,547.5,340,547.5
"Wheat",2018-05-04,535.75,547,536,535.75,153,535.75
"Wheat",2018-05-07,519.75,531,521.75,519.75,273,519.75
"Wheat",2018-05-08,518.5,518.5,518.5,518.5,9,518.5
"Wheat",2018-05-09,512,512,512,512,0,512
"Wheat",2018-05-10,507.5,507.5,507.5,507.5,1,507.5
"Wheat",2018-05-11,501.75,503.5,499.5,501.75,51,501.75
"Wheat",2018-05-14,496.75,496.75,496.75,496.75,717,496.75
"Wheat",2018-05-15,509.75,514.75,502.5,509.75,27859,509.75
"Wheat",2018-05-16,514,516.25,508.5,514,27920,514
"Wheat",2018-05-17,519,528,514.5,519,20250,519
"Wheat",2018-05-18,538.75,539.5,516.25,538.75,22939,538.75
"Wheat",2018-05-21,526.5,546,525,526.5,28951,526.5
"Wheat",2018-05-22,540.5,551.75,522.5,540.5,28969,540.5
"Wheat",2018-05-23,551.75,552,536.25,551.75,37935,551.75
"Wheat",2018-05-24,549,564.5,548.5,549,35086,549
"Wheat",2018-05-25,564,564.75,547.25,564,48642,564
"Wheat",2018-05-29,556.5,574.75,553.75,556.5,27975,556.5
"Wheat",2018-05-30,540.75,556,536.25,540.75,38189,540.75
"Wheat",2018-05-31,542.5,549.5,533.5,542.5,31382,542.5
"Wheat",2018-06-01,540.75,544,532,540.75,26662,540.75
"Wheat",2018-06-04,521.5,538.5,518.5,521.5,32717,521.5
"Wheat",2018-06-05,529,534.75,522.75,529,33221,529
"Wheat",2018-06-06,539.75,549,527,539.75,36773,539.75
"Wheat",2018-06-07,544.5,555.5,540.25,544.5,31821,544.5
"Wheat",2018-06-08,538.25,552.25,533,538.25,42632,538.25
"Wheat",2018-06-11,534.75,546.5,531,534.75,55472,534.75
"Wheat",2018-06-12,553.5,555.5,530.5,553.5,40837,553.5
"Wheat",2018-06-13,539,558,537.25,539,42656,539
"Wheat",2018-06-14,522.25,539,520,522.25,44323,522.25
"Wheat",2018-06-15,519.75,528.25,506.5,519.75,29223,519.75
"Wheat",2018-06-18,499.5,518.75,499,499.5,29846,499.5
"Wheat",2018-06-19,483,500.5,471.75,483,26247,483
"Wheat",2018-06-20,488.75,491.75,478.25,488.75,32816,488.75
"Wheat",2018-06-21,493.25,496.25,482,493.25,20289,493.25
"Wheat",2018-06-22,488.75,495.5,485.25,488.75,16868,488.75
"Wheat",2018-06-25,469.75,488.75,469,469.75,17340,469.75
"Wheat",2018-06-26,458,473.5,454,458,16386,458
"Wheat",2018-06-27,460.25,467.75,455.25,460.25,17252,460.25
"Wheat",2018-06-28,453.25,463,453.75,453.25,18352,453.25
"Wheat",2018-06-29,470.75,477.75,453,470.75,13073,470.75
"Wheat",2018-07-02,449.5,481,450,449.5,1945,449.5
"Wheat",2018-07-05,482,481.75,472.75,482,46,482
"Wheat",2018-07-06,492.25,490.5,481,492.25,123,492.25
"Wheat",2018-07-09,487.5,491,482.5,487.5,65,487.5
"Wheat",2018-07-10,483.75,479,471.5,483.75,173,483.75
"Wheat",2018-07-11,463,478,470.5,463,161,463
"Wheat",2018-07-12,470.25,471,466.5,470.25,42,470.25
"Wheat",2018-07-13,469.25,471.5,469.25,469.25,20,469.25
"Wheat",2018-07-16,484.5,492.75,482,484.5,23293,484.5
"Wheat",2018-07-17,490.75,499.5,485,490.75,18996,490.75
"Wheat",2018-07-18,487.75,497.75,487.75,487.75,22367,487.75
